timestamp	max	min	total
3456309	3.728	3.6817	400.4211
3456348	3.728	3.6818	400.4195
3456388	3.7279	3.6818	400.4201
3456428	3.7279	3.6818	400.4208
3456497	3.7279	3.6816	400.4197
3456509	3.7279	3.6818	400.4211
3456548	3.728	3.6818	400.4191
3456588	3.7279	3.6817	400.4204
3456628	3.7279	3.6818	400.4202
3456698	3.7279	3.6816	400.4205
3456710	3.7279	3.6817	400.4209
3456749	3.7279	3.6817	400.4206
3456789	3.7279	3.6818	400.4204
3456829	3.728	3.6817	400.4219
3456898	3.728	3.6818	400.4205
3456910	3.728	3.6816	400.4204
3456949	3.7279	3.6818	400.42
3456989	3.728	3.6817	400.4197
3457029	3.7279	3.6818	400.421
3457098	3.728	3.6818	400.4206
3457110	3.728	3.6816	400.4201
3457149	3.728	3.6818	400.4212
3457190	3.728	3.6818	400.4214
3457230	3.728	3.6818	400.4201
3457299	3.7279	3.6818	400.4199
3457311	3.7279	3.6818	400.4198
3457350	3.728	3.6818	400.421
3457390	3.7279	3.6817	400.4217
3457430	3.7279	3.6817	400.4215
3457499	3.7279	3.6817	400.4211
3457511	3.7279	3.6816	400.4205
3457550	3.7278	3.6818	400.4204
3457590	3.728	3.6817	400.4217
3457630	3.7279	3.6817	400.4213
3457700	3.7279	3.6818	400.4208
3457712	3.7279	3.6818	400.42
3457751	3.7279	3.6818	400.4205
3457791	3.7279	3.6818	400.4212
3457831	3.728	3.6818	400.4201
3457900	3.728	3.6818	400.4207
3457912	3.728	3.6817	400.4206
3457951	3.7279	3.6817	400.42
3457991	3.7279	3.6818	400.4199
3458031	3.7279	3.6818	400.4203
3458100	3.7279	3.6818	400.4198
3458112	3.7279	3.6818	400.4191
3458151	3.728	3.6818	400.4201
3458192	3.7278	3.6818	400.4193
3458232	3.728	3.6818	400.4212
3458301	3.7279	3.6818	400.4209
3458313	3.7279	3.6818	400.4203
3458355	3.7278	3.6818	400.4213
3458392	3.7278	3.6818	400.4191
3458432	3.7279	3.6817	400.4221
3458501	3.7279	3.6817	400.4213
3458513	3.7279	3.6817	400.4198
3458552	3.7279	3.6818	400.4195
3458592	3.728	3.6818	400.4202
3458632	3.7279	3.6818	400.4209
3458702	3.7279	3.6817	400.42
3458714	3.7279	3.6816	400.4198
3458753	3.728	3.6817	400.4208
3458793	3.7279	3.6817	400.4218
3458833	3.7279	3.6817	400.4209
3458902	3.7279	3.6817	400.4189
3458914	3.7279	3.6817	400.4201
3458953	3.728	3.6818	400.4209
3458993	3.7279	3.6818	400.4211
3459033	3.7279	3.6817	400.4208
3459102	3.7279	3.6818	400.4203
3459114	3.7279	3.6817	400.4204
3459153	3.7279	3.6817	400.4205
3459194	3.7279	3.6818	400.42
3459234	3.728	3.6817	400.4212
3459303	3.7279	3.6817	400.4203
3459315	3.7279	3.6817	400.4202
3459354	3.7279	3.6817	400.4202
3459394	3.7279	3.6817	400.4211
3459434	3.728	3.6817	400.4211
3459503	3.7279	3.6816	400.4206
3459515	3.7279	3.6817	400.4216
3459554	3.7279	3.6817	400.4213
3459594	3.728	3.6818	400.42
3459634	3.7279	3.6818	400.4213
3459704	3.728	3.6818	400.4213
3459716	3.728	3.6817	400.4205
3459755	3.7278	3.6818	400.4201
3459795	3.7278	3.6819	400.4207
3459835	3.7279	3.6816	400.4203
3459904	3.7278	3.6818	400.4204
3459916	3.7278	3.6818	400.4207
3459955	3.7279	3.6817	400.4202
3459995	3.7279	3.6817	400.4212
3460035	3.7279	3.6817	400.4229
3460104	3.7279	3.6818	400.4201
3460116	3.7279	3.6816	400.4203
3460156	3.7279	3.6818	400.4195
3460196	3.7279	3.6817	400.4209
3460236	3.7279	3.6818	400.4204
3460305	3.7279	3.6817	400.4208
3460317	3.7279	3.6817	400.4199
3460356	3.7279	3.6818	400.4201
3460396	3.728	3.6817	400.4195
3460436	3.728	3.6817	400.421
3460505	3.7279	3.6818	400.421
3460517	3.7279	3.6817	400.4209
3460556	3.728	3.6817	400.4205
3460596	3.7278	3.6817	400.4211
3460637	3.7279	3.6818	400.4193
3460706	3.7278	3.6818	400.4191
3460718	3.7278	3.6817	400.4191
3460757	3.7279	3.6818	400.4205
3460797	3.7279	3.6818	400.4201
3460837	3.728	3.6818	400.4211
3460906	3.7279	3.6816	400.4208
3460918	3.7279	3.6817	400.4205
3460957	3.7279	3.6818	400.4194
3460997	3.7279	3.6817	400.4205
3461037	3.7279	3.6817	400.4196
3461107	3.728	3.6817	400.4213
3461119	3.728	3.6817	400.4199
3461158	3.7279	3.6818	400.4218
3461198	3.728	3.6817	400.4209
3461238	3.7279	3.6818	400.4204
3461307	3.728	3.6816	400.421
3461319	3.728	3.6816	400.4199
3461358	3.7279	3.6818	400.4213
3461401	3.7279	3.6818	400.4206
3461438	3.7279	3.6818	400.4194
3461507	3.728	3.6817	400.4209
3461519	3.728	3.6818	400.4208
3461558	3.7279	3.6818	400.4212
